Model,MAE (km),RMSE (km),R²
CatBoost (Final),11.774537606396104,15.104145837065973,0.9784407110120008
Ridge Regression,15.218432691565548,18.5255751472171,0.9675671216226546
Random Forest,14.140808407738087,19.104745152459383,0.9655075065074952
Gradient Boosting,16.144273195784454,20.68834154718198,0.9595523356535139
