Fold,MAE (km),RMSE (km),R²
1,11.77127170678814,15.076156327483396,0.9785205400629361
2,12.29250865552625,15.763884931853909,0.9710014659208435
3,14.810819614293814,23.772090785473623,0.9484956357435661
4,11.955998462778325,18.618593105808863,0.9719788660778452
5,14.142437761458178,17.99024887453501,0.9694806607053822
